Size,RS,JS,PJW,ELF,BKDR,SDBM,DJB,DEK,AP
1000,0,0,0,0,0,0,0,0,0
5000,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0
20000,0,0,1,1,0,0,0,0,0
50000,0,1,7,7,2,0,0,0,0
75000,0,0,13,13,0,0,0,0,2
100000,1,0,22,22,0,0,0,3,1
